Title,Score,Number_Votes
Seven Seconds,6.9,"3,105"
United States of Tara,6.9,"3,303"
True Detective III,6.9,"11,861"
D.Gray-man,6.9,551
Mirai Nikki (The Future Diary),6.9,"1,916"
M.U.S.C.L.E.,6.9,"3,055"
In the Flesh,6.9,"4,179"
Black Sails,6.9,"7,225"
The Terror,6.9,"8,279"
30 Rock,6.9,"8,695"
Bodyguard,6.9,"9,643"
Mira lo que has hecho,6.9,"9,880"
The Avengers: Earth’s Mightiest Heroes,6.9,706
The Wrong Mans,6.9,792
Back to Life,6.9,"1,168"
Battlestar Galactica: The Resistance,6.9,"1,793"
Cristóbal Balenciaga,6.9,"2,186"
The Sixth Commandment,6.9,"2,342"
F Is for Family,6.9,"2,460"
Les Misérables,6.9,"3,913"
Amazing Stories,6.9,"5,787"
The Good Place,6.9,"6,953"
Barrabrava,6.9,671
La red púrpura,6.9,"1,002"
Star Wars Rebels,6.9,"2,338"
Presumed Innocent,6.9,"3,258"
Perfect Life,6.9,"5,528"
The League,6.9,544
Calls,6.9,"1,058"
Mayor of Kingstown,6.9,"1,116"
Porca misèria,6.9,"1,301"
The North Water,6.9,"2,304"
One Day,6.9,"2,681"
Boston Legal,6.9,"3,373"
The Night Manager,6.9,"6,823"
The Chestnut Man,6.9,"7,058"
Beef,6.9,"8,200"
Money Heist,6.9,"36,833"
Mr Bates vs. The Post Office,6.9,746
Another,6.9,"1,664"
American Crime,6.9,"1,799"
Assassination Classroom,6.9,"2,259"
Goliath,6.9,"2,424"
GLOW,6.9,"4,460"
Cheers,6.9,"36,229"
The Mechanism,6.9,500
Rematch,6.9,562
Porn and Ice Cream,6.9,678
Five Days at Memorial,6.9,899
Ghosts,6.9,909
Tehran,6.9,"1,019"
Inside Men,6.9,"1,623"
The Lost Flowers of Alice Hart,6.9,"1,752"
The English,6.9,"2,294"
The Borgias,6.9,"2,406"
¿Qué fue de Jorge Sanz?,6.9,"3,367"
Love,6.9,"4,581"
The Count of Monte Cristo,6.9,"10,241"
Man in an Orange Shirt,6.9,579
C. B. Strike: Troubled Blood,6.9,764
The Long Shadow,6.9,850
Barrio Sésamo,6.9,"2,062"
Rapa,6.9,"5,477"
Sherlock Hound,6.9,"13,175"
ReLIFE,6.8,534
Cry Wolf,6.8,679
Damnation,6.8,"1,267"
"Luis Miguel, The Series",6.8,"1,870"
Stargate Atlantis,6.8,"2,780"
Veronica Mars,6.8,"5,134"
Supernatural,6.8,"11,021"
Naruto,6.8,"18,279"
Star vs. The Forces of Evil,6.8,552
Better Off Ted,6.8,735
Dream Productions,6.8,834
Circumstances of a Boyfriend and Girlfriend (Karekano),6.8,"1,258"
Eastbound & Down,6.8,"1,843"
Wilfred,6.8,"3,099"
And Then There Were None,6.8,"3,557"
V,6.8,"21,616"
Dave,6.8,564
The Tattooist of Auschwitz,6.8,635
The Outer Limits,6.8,749
High Fidelity,6.8,"1,212"
Shogun,6.8,"1,532"
The Day of the Jackal,6.8,"2,372"
Samurai Jack,6.8,"2,871"
Ulysses 31,6.8,"3,106"
George and Mildred,6.8,"4,394"
Tom and Jerry,6.8,"32,161"
UFOs,6.8,621
Elizabeth I,6.8,653
Star Trek: Lower Decks,6.8,814
Minx,6.8,833
House of Saddam,6.8,876
Noragami,6.8,930
The Glory,6.8,"1,444"
Vision of Escaflowne,6.8,"1,466"
Versailles,6.8,"1,512"
My Name,6.8,"1,532"
Capítulo 0,6.8,"3,218"
Your Honor,6.8,"3,424"
"Love, Death + Robots. Vol. 2",6.8,"7,318"
Landman,6.8,927
Luck,6.8,"1,006"
Zoey's Extraordinary Playlist,6.8,"1,216"
Bob's Burgers,6.8,"2,191"
Crashing,6.8,"2,601"
Gantz,6.8,"4,768"
Only Murders in the Building,6.8,"7,765"
The Sandman,6.8,"8,537"
Outlander,6.8,"8,674"
Bloodhounds,6.8,688
Vernon Subutex,6.8,712
Das Boot,6.8,906
Toxic Town,6.8,959
Pokémon Origins,6.8,"1,078"
Space: 1999,6.8,"1,443"
Això no és Suècia,6.8,"1,444"
"Medici, Masters of Florence",6.8,"1,467"
Nurse Jackie,6.8,"1,658"
Cañas y barro,6.8,"1,669"
The Seven Deadly Sins,6.8,"2,025"
Star Wars: The Bad Batch,6.8,"2,259"
The Outer Limits,6.8,"2,870"
Tulsa King,6.8,"2,923"
Bloodline,6.8,"2,978"
Mozart in the Jungle,6.8,"4,206"
Modern Love,6.8,"5,388"
Dead Set,6.8,"14,153"
Prisoner,6.8,590
Fist of the North Star,6.8,602
Mr. Pickles,6.8,725
El jardín de bronce,6.8,741
The Liberator,6.8,"1,111"
Aggretsuko,6.8,"1,154"
Diamonds,6.8,"1,279"
The Murders at White House Farm,6.8,"1,362"
Such Brave Girls,6.8,"1,389"
Selftape,6.8,"1,481"
Malaka,6.8,"1,687"
American Vandal,6.8,"1,928"
Doctor Foster,6.8,"1,935"
Tabula Rasa,6.8,"2,063"
El inmortal,6.8,"2,840"
Come Fly With Me,6.8,520
The Leopard,6.8,598
A Confession,6.8,872
The Adventures of Captain Harlock,6.8,924
Detective Montalbano (Inspector Montalbano),6.8,"1,065"
Workin' Moms,6.8,"1,185"
The Walk-In,6.8,"1,344"
Lovesick,6.8,"1,996"
Counterpart,6.8,"2,422"
Secret Level,6.8,"2,533"
Legion,6.8,"3,738"
How to Get Away With Murder,6.8,"8,971"
Julia,6.8,639
Tuca & Bertie,6.8,795
La barraca,6.8,848
Napoléon,6.8,"1,272"
Too Old to Die Young,6.8,"1,891"
Gilmore Girls: A Year In The Life,6.8,"2,082"
The Diplomat,6.8,"2,155"
Preacher,6.8,"3,397"
The Architect,6.8,"3,422"
Hellsing,6.8,"3,527"
Servant,6.8,"4,333"
The Serpent,6.8,"6,333"
The Assassination of Gianni Versace: American Crime Story,6.8,"6,391"
Dungeons & Dragons,6.8,"10,278"
Close Enough,6.8,603
Nobel,6.8,638
The Split,6.8,700
Man About the House,6.8,841
Insecure,6.8,874
Farscape,6.8,"1,393"
Black Butterflies,6.8,"1,437"
Inhuman Resources,6.8,"2,814"
Jessica Jones,6.8,"11,867"
Lupin the 3rd,6.8,"12,902"
True Blood,6.8,"27,046"
Catch-22,6.8,717
Waco,6.8,"1,011"
Giri/Haji,6.8,"1,236"
Mareas vivas,6.8,"1,296"
Mission: Impossible,6.8,"1,371"
Godfather of Harlem,6.8,"1,417"
The Investigation,6.8,"1,450"
Xooof!,6.8,"2,045"
Giants,6.8,"3,640"
Jack Ryan,6.8,"5,604"
Planet Earth II,8.9,"4,596"
Our Planet,8.5,"3,276"
The Vietnam War,8.2,"1,194"
Frozen Planet,8.3,"1,084"
The Last Dance,8.2,"16,375"
The Beatles: Get Back,8.2,"2,810"
Homicide: Life on the Street,7.8,143
